warehouse,floor_no,rack_no,location_id,x,y,z
5BTG,3,35,3354471,-8812.0,3518.0,570.0
5BTG,3,35,3354472,-8812.0,3653.0,570.0
5BTG,3,35,3354481,-8952.0,3518.0,570.0
5BTG,3,35,3354482,-8952.0,3653.0,570.0
5BTG,3,35,3354491,-9092.0,3518.0,570.0
5BTG,3,35,3354492,-9092.0,3653.0,570.0
5BTG,3,35,3354501,-9232.0,3518.0,570.0
5BTG,3,35,3354502,-9232.0,3653.0,570.0
5BTG,3,35,3354511,-9372.0,3518.0,570.0
5BTG,3,35,3354512,-9372.0,3653.0,570.0
5BTG,3,35,3354521,-9512.0,3518.0,570.0
5BTG,3,35,3354522,-9512.0,3653.0,570.0
5BTG,3,35,3354531,-9652.0,3518.0,570.0
5BTG,3,35,3354532,-9652.0,3653.0,570.0
5BTG,3,35,3354541,-9792.0,3518.0,570.0
5BTG,3,35,3354542,-9792.0,3653.0,570.0
5BTG,3,35,3354551,-9932.0,3518.0,570.0
5BTG,3,35,3354552,-9932.0,3653.0,570.0
5BTG,3,35,3354561,-10072.0,3518.0,570.0
5BTG,3,35,3354562,-10072.0,3653.0,570.0
5BTG,3,35,3354571,-10212.0,3518.0,570.0
5BTG,3,35,3354572,-10212.0,3653.0,570.0
5BTG,3,35,3354581,-10352.0,3518.0,570.0
5BTG,3,35,3354582,-10352.0,3653.0,570.0
5BTG,3,35,3355031,-2652.0,3518.0,745.0
5BTG,3,35,3355032,-2652.0,3653.0,745.0
5BTG,3,35,3355041,-2792.0,3518.0,745.0
5BTG,3,35,3355042,-2792.0,3653.0,745.0
5BTG,3,35,3355051,-2932.0,3518.0,745.0
5BTG,3,35,3355052,-2932.0,3653.0,745.0
5BTG,3,35,3355061,-3072.0,3518.0,745.0
5BTG,3,35,3355062,-3072.0,3653.0,745.0
5BTG,3,35,3355071,-3212.0,3518.0,745.0
5BTG,3,35,3355072,-3212.0,3653.0,745.0
5BTG,3,35,3355081,-3352.0,3518.0,745.0
5BTG,3,35,3355082,-3352.0,3653.0,745.0
5BTG,3,35,3355091,-3492.0,3518.0,745.0
5BTG,3,35,3355092,-3492.0,3653.0,745.0
5BTG,3,35,3355101,-3632.0,3518.0,745.0
5BTG,3,35,3355102,-3632.0,3653.0,745.0
5BTG,3,35,3355111,-3772.0,3518.0,745.0
5BTG,3,35,3355112,-3772.0,3653.0,745.0
5BTG,3,35,3355121,-3912.0,3518.0,745.0
5BTG,3,35,3355122,-3912.0,3653.0,745.0
5BTG,3,35,3355131,-4052.0,3518.0,745.0
5BTG,3,35,3355132,-4052.0,3653.0,745.0
5BTG,3,35,3355141,-4192.0,3518.0,745.0
5BTG,3,35,3355142,-4192.0,3653.0,745.0
5BTG,3,35,3355151,-4332.0,3518.0,745.0
5BTG,3,35,3355152,-4332.0,3653.0,745.0
5BTG,3,35,3355161,-4472.0,3518.0,745.0
5BTG,3,35,3355162,-4472.0,3653.0,745.0
5BTG,3,35,3355171,-4612.0,3518.0,745.0
5BTG,3,35,3355172,-4612.0,3653.0,745.0
5BTG,3,35,3355181,-4752.0,3518.0,745.0
5BTG,3,35,3355182,-4752.0,3653.0,745.0
5BTG,3,35,3355191,-4892.0,3518.0,745.0
5BTG,3,35,3355192,-4892.0,3653.0,745.0
5BTG,3,35,3355201,-5032.0,3518.0,745.0
5BTG,3,35,3355202,-5032.0,3653.0,745.0
5BTG,3,35,3355211,-5172.0,3518.0,745.0
5BTG,3,35,3355212,-5172.0,3653.0,745.0
5BTG,3,35,3355221,-5312.0,3518.0,745.0
5BTG,3,35,3355222,-5312.0,3653.0,745.0
5BTG,3,35,3355231,-5452.0,3518.0,745.0
5BTG,3,35,3355232,-5452.0,3653.0,745.0
5BTG,3,35,3355241,-5592.0,3518.0,745.0
5BTG,3,35,3355242,-5592.0,3653.0,745.0
5BTG,3,35,3355251,-5732.0,3518.0,745.0
5BTG,3,35,3355252,-5732.0,3653.0,745.0
5BTG,3,35,3355261,-5872.0,3518.0,745.0
